quarter,stock,date,open,high,low,close,volume
1,AA,1/7/11,$15.82 ,$16.72 ,$15.78 ,$16.42 ,239655616
1,AA,1/14/11,$16.71 ,$16.71 ,$15.64 ,$15.97 ,242963398
1,AA,1/21/11,$16.19 ,$16.38 ,$15.60 ,$15.79 ,138428495
1,AA,1/28/11,$15.87 ,$16.63 ,$15.82 ,$16.13 ,151379173
1,AA,2/4/11,$16.18 ,$17.39 ,$16.18 ,$17.14 ,154387761
1,AA,2/11/11,$17.33 ,$17.48 ,$16.97 ,$17.37 ,114691279
1,AA,2/18/11,$17.39 ,$17.68 ,$17.28 ,$17.28 ,80023895
1,AA,2/25/11,$16.98 ,$17.15 ,$15.96 ,$16.68 ,132981863
1,AA,3/4/11,$16.81 ,$16.94 ,$16.13 ,$16.58 ,109493077
1,AA,3/11/11,$16.58 ,$16.75 ,$15.42 ,$16.03 ,114332562
1,AA,3/18/11,$15.95 ,$16.33 ,$15.43 ,$16.11 ,130374108
1,AA,3/25/11,$16.38 ,$17.24 ,$16.26 ,$17.09 ,95550392
1,AXP,1/7/11,$43.30 ,$45.60 ,$43.11 ,$44.36 ,45102042
1,AXP,1/14/11,$44.20 ,$46.25 ,$44.01 ,$46.25 ,25913713
1,AXP,1/21/11,$46.03 ,$46.71 ,$44.71 ,$46.00 ,38824728
1,AXP,1/28/11,$46.05 ,$46.27 ,$43.42 ,$43.86 ,51427274
1,AXP,2/4/11,$44.13 ,$44.23 ,$43.15 ,$43.82 ,39501680
1,AXP,2/11/11,$43.96 ,$46.79 ,$43.88 ,$46.75 ,43746998
1,AXP,2/18/11,$46.42 ,$46.93 ,$45.53 ,$45.53 ,28564910
1,AXP,2/25/11,$44.94 ,$45.12 ,$43.01 ,$43.53 ,39654146
1,AXP,3/4/11,$43.73 ,$44.68 ,$42.75 ,$43.72 ,38985037
1,AXP,3/11/11,$43.86 ,$45.54 ,$43.53 ,$44.28 ,37613429
1,AXP,3/18/11,$43.86 ,$44.47 ,$42.19 ,$44.17 ,41757526
1,AXP,3/25/11,$44.75 ,$45.61 ,$44.10 ,$45.59 ,30798332
1,BA,1/7/11,$66.15 ,$70.10 ,$66.00 ,$69.38 ,36258120
1,BA,1/14/11,$69.42 ,$70.50 ,$68.35 ,$70.07 ,18834664
1,BA,1/21/11,$70.86 ,$72.99 ,$70.23 ,$71.68 ,29594221
1,BA,1/28/11,$71.52 ,$72.82 ,$69.00 ,$69.23 ,34929673
1,BA,2/4/11,$69.26 ,$71.64 ,$69.12 ,$71.38 ,22770062
1,BA,2/11/11,$71.43 ,$72.99 ,$71.15 ,$72.14 ,21809411
1,BA,2/18/11,$72.70 ,$73.04 ,$71.09 ,$73.04 ,15989248
1,BA,2/25/11,$72.35 ,$74.29 ,$70.00 ,$72.30 ,26258425
1,BA,3/4/11,$72.47 ,$72.90 ,$68.60 ,$71.80 ,27527285
1,BA,3/11/11,$71.60 ,$72.50 ,$69.91 ,$71.64 ,25556296
1,BA,3/18/11,$71.17 ,$71.23 ,$67.34 ,$69.10 ,29746370
1,BA,3/25/11,$70.29 ,$73.50 ,$70.03 ,$73.34 ,24423545
1,BAC,1/7/11,$13.85 ,$14.69 ,$13.80 ,$14.25 ,1453438639
1,BAC,1/14/11,$14.17 ,$15.25 ,$14.09 ,$15.25 ,760935694
1,BAC,1/21/11,$15.08 ,$15.16 ,$13.94 ,$14.25 ,982445809
1,BAC,1/28/11,$14.25 ,$14.26 ,$13.40 ,$13.60 ,1054415375
1,BAC,2/4/11,$13.71 ,$14.47 ,$13.64 ,$14.29 ,757192224
1,BAC,2/11/11,$14.51 ,$14.87 ,$14.35 ,$14.77 ,746465458
1,BAC,2/18/11,$14.77 ,$14.95 ,$14.69 ,$14.75 ,458423511
1,BAC,2/25/11,$14.38 ,$14.52 ,$13.79 ,$14.20 ,712456757
1,BAC,3/4/11,$14.27 ,$14.48 ,$13.81 ,$14.12 ,699671790
1,BAC,3/11/11,$14.18 ,$14.70 ,$13.92 ,$14.38 ,805210688
1,BAC,3/18/11,$14.26 ,$14.35 ,$13.66 ,$14.04 ,792380862
1,BAC,3/25/11,$14.20 ,$14.22 ,$13.32 ,$13.34 ,717678994
1,CAT,1/7/11,$94.38 ,$94.81 ,$92.30 ,$93.73 ,24135903
1,CAT,1/14/11,$93.21 ,$94.70 ,$92.51 ,$94.01 ,19707235
