quarter,stock,date,open,high,low,close,volume,Avg_PnL
1,PFE,01-07-2011,17.7,18.38,17.62,18.34,386804789,1.29%
1,CVX,01-07-2011,91.66,92.48,90.27,91.19,35556288,1.18%
1,CAT,01-07-2011,94.38,94.81,92.3,93.73,24135903,1.16%
1,XOM,01-07-2011,73.72,75.9,73.64,75.59,101740933,0.99%
2,JNJ,04-01-2011,58.98,59.73,58.93,59.49,48029143,0.98%
1,DIS,01-07-2011,37.74,40,37.62,39.45,72917621,0.89%
2,KRFT,04-01-2011,31.35,31.7,31.06,31.61,38759730,0.78%
2,MCD,04-01-2011,75.55,76.5,74.87,75.99,17977737,0.72%
2,MRK,04-01-2011,32.54,33.48,32.39,33.07,60348951,0.71%
1,DD,01-07-2011,50.05,50.54,49.28,49.76,27658789,0.69%
1,JPM,01-07-2011,43,44.95,42.64,43.64,234547885,0.69%
1,IBM,01-07-2011,147.21,148.86,146.64,147.93,23492843,0.64%
1,GE,01-07-2011,18.49,18.72,18.12,18.43,280146510,0.60%
1,BA,01-07-2011,66.15,70.1,66,69.38,36258120,0.58%
2,AXP,04-01-2011,45.54,46.29,45.11,45.36,28738689,0.53%
2,T,04-01-2011,29.02,30.97,28.9,30.62,384284485,0.48%
2,PG,04-01-2011,61.08,62.3,60.61,62.08,43453701,0.47%
1,TRV,01-07-2011,56.09,56.34,52.88,53.33,20010115,0.40%
1,MMM,01-07-2011,86.75,87.9,85.63,86.23,16166921,0.38%
2,INTC,04-01-2011,20.44,20.66,19.56,19.72,321390635,0.38%
1,AA,01-07-2011,15.82,16.72,15.78,16.42,239655616,0.37%
1,AXP,01-07-2011,43.3,45.6,43.11,44.36,45102042,0.34%
1,HD,01-07-2011,35.2,35.57,34.18,34.38,56576860,0.32%
1,BAC,01-07-2011,13.85,14.69,13.8,14.25,1453438639,0.29%
1,UTX,01-07-2011,79.19,79.75,78.4,79.08,15797841,0.25%
1,VZ,01-07-2011,36.06,37.7,35.41,35.93,141938064,0.16%
2,IBM,04-01-2011,161.54,164.42,161.12,164.27,19081936,0.12%
2,UTX,04-01-2011,83.75,85.95,83.26,85.32,16314122,0.10%
2,BA,04-01-2011,73.5,74.85,73.03,74.01,20590618,0.09%
2,WMT,04-01-2011,52.31,52.74,51.89,52.13,44519431,0.07%
2,KO,04-01-2011,65.2,67.48,65.03,67.22,39265955,0.03%
1,HPQ,01-07-2011,42.22,45.39,42.22,45.09,100020724,0.01%
2,MMM,04-01-2011,92.42,94.33,91.9,93.13,14958061,-0.07%
2,PFE,04-01-2011,20.42,20.57,20.11,20.38,170424399,-0.11%
2,TRV,04-01-2011,59.09,60.01,58.37,59.71,16608737,-0.20%
1,T,01-07-2011,29.68,30.1,28.66,28.85,157834347,-0.26%
1,KRFT,01-07-2011,31.76,31.76,31.14,31.19,44971770,-0.27%
1,KO,01-07-2011,65.88,65.88,62.56,62.92,59802189,-0.37%
1,WMT,01-07-2011,54.23,55.07,53.76,54.08,64231179,-0.41%
1,MCD,01-07-2011,77.1,77.59,73.59,74.37,85400677,-0.41%
2,VZ,04-01-2011,37.44,38.95,37.42,38.47,96766651,-0.46%
2,MSFT,04-01-2011,25.66,25.72,25.3,25.48,258143967,-0.46%
1,INTC,01-07-2011,21.01,21.21,20.27,20.66,386719626,-0.47%
1,PG,01-07-2011,64.39,65.08,64,64.5,52323352,-0.49%
2,XOM,04-01-2011,83.86,84.94,82.61,84.68,77569311,-0.49%
2,CVX,04-01-2011,106.4,109.65,105.52,108.32,35824123,-0.57%
1,JNJ,01-07-2011,62.63,63.54,62.53,62.6,57774737,-0.58%
2,GE,04-01-2011,19.81,20.5,19.53,20.34,207897262,-0.60%
2,DD,04-01-2011,54.11,55.8,53.7,55.19,23341552,-0.71%
2,HD,04-01-2011,37.46,37.87,36.62,37.56,52881329,-0.72%
2,CAT,04-01-2011,109.54,113.59,108.61,113.12,28116391,-0.96%
1,MSFT,01-07-2011,28.05,28.85,27.77,28.6,328646154,-0.97%
2,JPM,04-01-2011,46.1,46.88,45.51,46.35,112702290,-1.04%
2,DIS,04-01-2011,43.19,43.48,42.36,42.85,34130223,-1.06%
1,MRK,01-07-2011,36.29,37.35,35.85,37.35,72760487,-1.07%
2,AA,04-01-2011,17.13,17.8,17.02,17.47,103320396,-1.19%
2,CSCO,04-01-2011,17.36,17.6,16.99,17.04,308644641,-1.20%
1,CSCO,01-07-2011,20.45,21,20.38,20.97,303545878,-1.36%
2,HPQ,04-01-2011,42.42,42.83,37.6,40.98,90069975,-1.56%
2,BAC,04-01-2011,13.42,13.61,13.16,13.37,499672763,-1.92%
